device_id,device_model,category,gold_g,copper_g,lithium_g,confidence,total_value_estimate,timestamp,region
DEV-000219,Samsung Galaxy Tab S7,tablet,0.1256,26.271,35.187,0.88,535.6,2026-04-09T13:06:58.942854,Mumbai
DEV-000220,AirPods Pro,earbuds,0.0048,0.899,0.704,0.95,10.86,2026-04-09T13:06:58.942873,Hyderabad
DEV-000221,OnePlus 10,smartphone,0.029,7.348,4.734,0.85,72.82,2026-04-09T13:06:58.942891,Pune
DEV-000222,Sony WH-1000XM4,headphones,0.006,2.851,1.215,0.84,18.61,2026-04-09T13:06:58.942910,Ahmedabad
DEV-000223,Sony WH-1000XM4,headphones,0.0079,5.755,0.862,0.94,13.46,2026-04-09T13:06:58.942928,Pune
DEV-000224,iPhone 12,smartphone,0.0302,10.027,2.956,0.92,46.25,2026-04-09T13:06:58.942946,Mumbai
DEV-000225,iPad Pro 11,tablet,0.1032,32.37,30.667,0.83,466.52,2026-04-09T13:06:58.942964,Pune
DEV-000226,ThinkPad T490,laptop,0.2094,54.588,47.214,0.95,721.32,2026-04-09T13:06:58.942981,Delhi
DEV-000227,Fitbit Charge 5,wearable,0.0006,0.344,0.119,0.92,1.82,2026-04-09T13:06:58.942999,Kolkata
DEV-000228,ThinkPad T490,laptop,0.3271,56.276,41.33,0.96,640.14,2026-04-09T13:06:58.943017,Delhi
DEV-000229,Sony WH-1000XM4,headphones,0.0059,2.859,0.861,0.94,13.3,2026-04-09T13:06:58.943035,Pune
DEV-000230,HP Pavilion 15,laptop,0.2531,33.922,42.591,0.92,654.39,2026-04-09T13:06:58.943053,Bangalore
DEV-000231,Canon EOS R5,camera,0.1252,33.487,16.998,0.88,262.82,2026-04-09T13:06:58.943070,Ahmedabad
DEV-000232,ThinkPad T490,laptop,0.2586,51.696,58.952,0.92,900.31,2026-04-09T13:06:58.943088,Ahmedabad
DEV-000233,Samsung Galaxy S21,smartphone,0.0396,12.417,4.54,0.88,70.6,2026-04-09T13:06:58.943106,Bangalore
DEV-000234,iPhone 13,smartphone,0.0406,11.691,3.004,0.96,47.61,2026-04-09T13:06:58.943124,Kolkata
DEV-000235,ThinkPad T500,laptop,0.187,61.499,52.166,0.92,794.32,2026-04-09T13:06:58.943142,Kolkata
DEV-000236,AirPods Pro,earbuds,0.004,1.179,0.441,0.85,6.87,2026-04-09T13:06:58.943159,Chennai
DEV-000237,AirPods Pro,earbuds,0.0053,0.535,0.508,0.92,7.94,2026-04-09T13:06:58.943177,Kolkata
DEV-000238,OnePlus 10,smartphone,0.0314,10.313,4.133,0.88,63.98,2026-04-09T13:06:58.943194,Chennai
DEV-000239,Samsung Galaxy Tab S7,tablet,0.127,24.088,35.259,0.98,536.75,2026-04-09T13:06:58.943212,Chennai
DEV-000240,ThinkPad T500,laptop,0.274,52.254,46.298,0.82,711.43,2026-04-09T13:06:58.943230,Bangalore
DEV-000241,Google Pixel 7,smartphone,0.0272,12.551,3.558,0.84,55.13,2026-04-09T13:06:58.943248,Kolkata
DEV-000242,Google Pixel 6,smartphone,0.0188,11.137,4.312,0.88,65.92,2026-04-09T13:06:58.943266,Hyderabad
DEV-000243,Sony A7IV,camera,0.1424,22.545,27.97,0.98,428.32,2026-04-09T13:06:58.943283,Delhi
DEV-000244,MacBook Pro 13,laptop,0.3749,56.689,69.23,0.82,1061.51,2026-04-09T13:06:58.943301,Chennai
DEV-000245,AirPods Pro,earbuds,0.0038,0.679,0.603,0.86,9.28,2026-04-09T13:06:58.943340,Hyderabad
DEV-000246,iPad Pro 11,tablet,0.1691,28.103,40.25,0.84,614.18,2026-04-09T13:06:58.943359,Bangalore
DEV-000247,Samsung Galaxy S22,smartphone,0.0335,10.046,5.059,0.97,78.0,2026-04-09T13:06:58.943377,Mumbai
DEV-000248,Sony A7IV,camera,0.1405,35.599,29.187,0.97,446.59,2026-04-09T13:06:58.943396,Mumbai
DEV-000249,iPhone 12,smartphone,0.0263,9.032,3.884,0.96,59.93,2026-04-09T13:06:58.943413,Mumbai
DEV-000250,Apple Watch Series 7,wearable,0.003,0.645,0.32,0.89,4.99,2026-04-09T13:06:58.943431,Delhi
DEV-000251,Canon EOS R5,camera,0.103,28.622,28.578,0.84,435.14,2026-04-09T13:06:58.943448,Delhi
DEV-000252,Google Pixel 6,smartphone,0.022,6.719,3.986,0.96,61.18,2026-04-09T13:06:58.943466,Kolkata
DEV-000253,ThinkPad T500,laptop,0.2118,59.28,54.527,0.86,831.21,2026-04-09T13:06:58.943483,Ahmedabad
DEV-000254,Samsung Galaxy S22,smartphone,0.0263,9.507,4.191,0.84,64.54,2026-04-09T13:06:58.943500,Chennai
DEV-000255,MacBook Pro 13,laptop,0.2747,68.749,74.646,0.86,1136.86,2026-04-09T13:06:58.943518,Chennai
DEV-000256,Samsung Galaxy S21,smartphone,0.0236,8.88,4.975,0.84,76.13,2026-04-09T13:06:58.943536,Mumbai
DEV-000257,iPhone 14,smartphone,0.0392,14.986,4.199,0.96,65.49,2026-04-09T13:06:58.943554,Pune
DEV-000258,Google Pixel 7,smartphone,0.0231,12.228,3.916,0.89,60.25,2026-04-09T13:06:58.943572,Delhi
DEV-000259,Samsung Galaxy S22,smartphone,0.0267,12.863,3.76,0.95,58.13,2026-04-09T13:06:58.943591,Bangalore
DEV-000260,Google Pixel 7,smartphone,0.0361,10.826,3.907,0.96,60.88,2026-04-09T13:06:58.943609,Pune
DEV-000261,Dell XPS 13,laptop,0.233,59.308,39.713,0.98,610.27,2026-04-09T13:06:58.943627,Kolkata
DEV-000262,ThinkPad T480,laptop,0.2404,42.46,38.547,0.82,593.05,2026-04-09T13:06:58.943645,Ahmedabad
DEV-000263,Dell XPS 13,laptop,0.3121,53.119,39.518,0.97,612.03,2026-04-09T13:06:58.943663,Bangalore
DEV-000264,Canon EOS R5,camera,0.1092,27.767,17.3,0.92,266.33,2026-04-09T13:06:58.943681,Hyderabad
DEV-000265,ThinkPad T500,laptop,0.3553,41.529,62.616,0.9,960.97,2026-04-09T13:06:58.943699,Ahmedabad
DEV-000266,ThinkPad T500,laptop,0.3714,66.694,60.906,0.93,936.54,2026-04-09T13:06:58.943718,Chennai
DEV-000267,Sony WH-1000XM4,headphones,0.0118,4.741,0.808,0.92,12.88,2026-04-09T13:06:58.943735,Kolkata
DEV-000268,Dell XPS 13,laptop,0.1594,61.659,44.745,0.95,681.36,2026-04-09T13:06:58.943753,Chennai
DEV-000269,Samsung Galaxy S21,smartphone,0.0286,8.455,3.992,0.85,61.68,2026-04-09T13:06:58.943770,Delhi
DEV-000270,Dell XPS 13,laptop,0.2382,53.477,44.159,0.84,677.21,2026-04-09T13:06:58.943788,Ahmedabad
DEV-000271,Sony A7IV,camera,0.1119,31.467,25.893,0.9,395.42,2026-04-09T13:06:58.943807,Chennai
DEV-000272,Samsung Galaxy S21,smartphone,0.0228,9.342,4.949,0.89,75.7,2026-04-09T13:06:58.943845,Chennai
DEV-000273,iPhone 12,smartphone,0.0391,12.045,2.951,0.93,46.73,2026-04-09T13:06:58.943864,Delhi
DEV-000274,ThinkPad T480,laptop,0.2627,40.677,37.448,0.92,577.89,2026-04-09T13:06:58.943882,Pune
DEV-000275,Samsung Galaxy S22,smartphone,0.0354,8.242,3.95,0.91,61.46,2026-04-09T13:06:58.943901,Hyderabad
DEV-000276,iPad Pro 11,tablet,0.1412,21.034,42.28,0.93,642.88,2026-04-09T13:06:58.943919,Ahmedabad
DEV-000277,Dell XPS 13,laptop,0.157,37.911,43.388,0.97,660.62,2026-04-09T13:06:58.943937,Pune
DEV-000278,Samsung Galaxy S22,smartphone,0.0414,13.304,3.805,0.94,59.69,2026-04-09T13:06:58.943955,Pune
DEV-000279,Google Pixel 7,smartphone,0.0312,11.439,4.545,0.86,70.16,2026-04-09T13:06:58.943973,Ahmedabad
DEV-000280,Sony WH-1000XM4,headphones,0.0122,2.039,1.005,0.83,15.83,2026-04-09T13:06:58.943991,Ahmedabad
DEV-000281,iPad Pro 11,tablet,0.1183,21.187,37.299,0.83,566.79,2026-04-09T13:06:58.944009,Mumbai
DEV-000282,Samsung Galaxy Tab S7,tablet,0.0818,20.942,36.839,0.83,557.7,2026-04-09T13:06:58.944026,Kolkata
DEV-000283,iPhone 12,smartphone,0.0276,11.998,3.844,0.92,59.44,2026-04-09T13:06:58.944044,Hyderabad
DEV-000284,Samsung Galaxy S21,smartphone,0.0249,9.762,3.571,0.96,55.16,2026-04-09T13:06:58.944062,Delhi
DEV-000285,MacBook Pro 13,laptop,0.3391,59.164,55.599,0.86,854.92,2026-04-09T13:06:58.944079,Hyderabad
DEV-000286,MacBook Air M1,laptop,0.375,50.908,59.261,0.85,911.92,2026-04-09T13:06:58.944098,Delhi
DEV-000287,iPhone 12,smartphone,0.036,10.229,3.748,0.95,58.48,2026-04-09T13:06:58.944116,Delhi
DEV-000288,iPad Air,tablet,0.1037,16.077,27.424,0.93,417.74,2026-04-09T13:06:58.944134,Bangalore
DEV-000289,AirPods Pro,earbuds,0.0065,0.559,0.512,0.94,8.08,2026-04-09T13:06:58.944152,Mumbai
DEV-000290,Samsung Galaxy Tab S7,tablet,0.0756,18.996,33.606,0.83,508.82,2026-04-09T13:06:58.944170,Delhi
DEV-000291,Samsung Galaxy S22,smartphone,0.0435,11.474,4.828,0.88,75.14,2026-04-09T13:06:58.944188,Delhi
DEV-000292,iPad Air,tablet,0.1058,21.53,27.45,0.94,418.31,2026-04-09T13:06:58.944205,Kolkata
DEV-000293,Sony A7IV,camera,0.1068,41.265,20.695,0.94,317.25,2026-04-09T13:06:58.944223,Kolkata
DEV-000294,MacBook Pro 13,laptop,0.445,68.574,56.204,0.94,870.45,2026-04-09T13:06:58.944240,Delhi
DEV-000295,Google Pixel 6,smartphone,0.0305,6.399,3.633,0.85,56.39,2026-04-09T13:06:58.944258,Kolkata
DEV-000296,ThinkPad T490,laptop,0.2082,46.212,54.206,0.98,826.04,2026-04-09T13:06:58.944276,Kolkata
DEV-000297,Google Pixel 6,smartphone,0.0347,7.976,4.248,0.92,65.88,2026-04-09T13:06:58.944294,Pune
DEV-000298,OnePlus 10,smartphone,0.0151,11.216,4.624,0.99,70.38,2026-04-09T13:06:58.944312,Mumbai
DEV-000299,Sony A7IV,camera,0.1575,40.563,17.6,0.97,273.86,2026-04-09T13:06:58.944329,Kolkata
DEV-000300,Apple Watch Series 7,wearable,0.0044,0.692,0.494,0.84,7.68,2026-04-09T13:06:58.944347,Hyderabad
DEV-000301,MacBook Pro 13,laptop,0.3087,65.809,68.556,0.95,1047.52,2026-04-09T13:06:58.944364,Kolkata
DEV-000302,iPhone 12,smartphone,0.0273,12.567,2.705,0.96,42.34,2026-04-09T13:06:58.944382,Pune
DEV-000303,Fitbit Charge 5,wearable,0.0022,0.123,0.246,0.91,3.82,2026-04-09T13:06:58.944400,Delhi
DEV-000304,MacBook Air M1,laptop,0.2366,55.013,58.787,0.91,896.55,2026-04-09T13:06:58.944417,Kolkata
DEV-000305,Samsung Galaxy S21,smartphone,0.0318,13.486,4.602,0.91,71.07,2026-04-09T13:06:58.944435,Pune
DEV-000306,iPhone 14,smartphone,0.045,12.198,4.368,0.87,68.34,2026-04-09T13:06:58.944452,Hyderabad
DEV-000307,Fitbit Charge 5,wearable,0.001,0.229,0.136,0.94,2.1,2026-04-09T13:06:58.944471,Chennai
DEV-000308,Sony WH-1000XM4,headphones,0.0113,4.017,1.399,0.9,21.7,2026-04-09T13:06:58.944489,Ahmedabad
DEV-000309,OnePlus 10,smartphone,0.0339,11.127,4.485,0.96,69.42,2026-04-09T13:06:58.944507,Chennai
DEV-000310,OnePlus 10,smartphone,0.0236,7.828,4.555,0.85,69.82,2026-04-09T13:06:58.944526,Pune
DEV-000311,Sony WH-1000XM4,headphones,0.0074,4.054,1.476,0.96,22.62,2026-04-09T13:06:58.944554,Hyderabad
DEV-000312,Google Pixel 7,smartphone,0.0282,7.815,4.469,0.9,68.81,2026-04-09T13:06:58.944573,Ahmedabad
DEV-000313,Google Pixel 7,smartphone,0.0266,10.946,4.508,0.89,69.33,2026-04-09T13:06:58.944591,Hyderabad
DEV-000314,Canon EOS R5,camera,0.175,31.805,28.778,0.84,442.49,2026-04-09T13:06:58.944609,Ahmedabad
DEV-000315,Fitbit Charge 5,wearable,0.0026,0.299,0.102,0.97,1.69,2026-04-09T13:06:58.944627,Kolkata
DEV-000316,Samsung Galaxy S22,smartphone,0.0427,10.162,4.113,0.97,64.36,2026-04-09T13:06:58.944645,Hyderabad
DEV-000317,AirPods Pro,earbuds,0.0045,0.727,0.339,0.86,5.36,2026-04-09T13:06:58.944662,Chennai
DEV-000318,iPad Pro 11,tablet,0.179,33.382,30.48,0.91,468.27,2026-04-09T13:06:58.944680,Ahmedabad
DEV-000319,Dell XPS 13,laptop,0.3005,42.385,44.868,0.86,691.47,2026-04-09T13:06:58.944698,Chennai
DEV-000320,Samsung Galaxy Tab S7,tablet,0.1533,26.457,33.616,0.91,513.7,2026-04-09T13:06:58.944715,Pune
DEV-000321,MacBook Pro 13,laptop,0.4179,71.957,69.058,0.84,1061.66,2026-04-09T13:06:58.944733,Chennai
DEV-000322,OnePlus 10,smartphone,0.0201,7.615,3.921,0.84,60.1,2026-04-09T13:06:58.944752,Chennai
DEV-000323,Apple Watch Series 7,wearable,0.002,0.888,0.423,0.98,6.47,2026-04-09T13:06:58.944770,Bangalore
DEV-000324,iPad Pro 11,tablet,0.1911,31.847,30.496,0.93,469.22,2026-04-09T13:06:58.944788,Hyderabad
DEV-000325,iPhone 12,smartphone,0.0404,10.582,3.147,0.94,49.73,2026-04-09T13:06:58.944806,Hyderabad
DEV-000326,iPhone 14,smartphone,0.039,16.031,4.022,0.9,62.83,2026-04-09T13:06:58.944850,Chennai
DEV-000327,Samsung Galaxy Tab S7,tablet,0.0728,26.757,24.133,0.97,366.63,2026-04-09T13:06:58.944868,Kolkata
DEV-000328,ThinkPad T480,laptop,0.2324,46.775,36.272,0.91,558.49,2026-04-09T13:06:58.944886,Kolkata
DEV-000329,iPhone 14,smartphone,0.0474,15.009,3.215,0.83,51.22,2026-04-09T13:06:58.944904,Mumbai
DEV-000330,Sony A7IV,camera,0.0957,40.922,17.461,0.84,268.07,2026-04-09T13:06:58.944923,Ahmedabad
DEV-000331,Fitbit Charge 5,wearable,0.0023,0.252,0.119,0.99,1.93,2026-04-09T13:06:58.944941,Kolkata
DEV-000332,MacBook Air M1,laptop,0.34,55.797,63.092,0.98,967.34,2026-04-09T13:06:58.944959,Delhi
DEV-000333,Samsung Galaxy Tab S7,tablet,0.0713,26.625,30.092,0.95,455.92,2026-04-09T13:06:58.944977,Kolkata
DEV-000334,Canon EOS R5,camera,0.1779,21.591,23.828,0.83,368.31,2026-04-09T13:06:58.944995,Pune
DEV-000335,ThinkPad T490,laptop,0.3071,60.96,43.534,0.93,672.05,2026-04-09T13:06:58.945013,Ahmedabad
DEV-000336,ThinkPad T500,laptop,0.1963,44.774,55.803,0.83,849.27,2026-04-09T13:06:58.945031,Mumbai
DEV-000337,iPhone 14,smartphone,0.0541,12.824,3.855,0.84,61.2,2026-04-09T13:06:58.945049,Mumbai
DEV-000338,iPhone 12,smartphone,0.034,9.752,2.758,0.85,43.51,2026-04-09T13:06:58.945067,Mumbai
DEV-000339,Dell XPS 13,laptop,0.2561,47.199,46.256,0.93,709.68,2026-04-09T13:06:58.945085,Ahmedabad
DEV-000340,iPad Air,tablet,0.1352,24.656,34.158,0.97,520.73,2026-04-09T13:06:58.945103,Chennai
DEV-000341,MacBook Air M1,laptop,0.2731,59.891,61.314,0.95,936.69,2026-04-09T13:06:58.945121,Ahmedabad
DEV-000342,Google Pixel 6,smartphone,0.0379,6.991,3.874,0.91,60.45,2026-04-09T13:06:58.945138,Delhi
DEV-000343,HP Pavilion 15,laptop,0.2941,48.436,47.578,0.98,731.8,2026-04-09T13:06:58.945156,Chennai
DEV-000344,Fitbit Charge 5,wearable,0.0009,0.487,0.209,0.93,3.19,2026-04-09T13:06:58.945173,Ahmedabad
DEV-000345,OnePlus 10,smartphone,0.0312,8.733,4.86,0.84,74.86,2026-04-09T13:06:58.945191,Bangalore
DEV-000346,ThinkPad T490,laptop,0.2348,40.834,53.469,0.87,816.53,2026-04-09T13:06:58.945209,Pune
DEV-000347,Google Pixel 6,smartphone,0.0332,7.567,3.384,0.84,52.83,2026-04-09T13:06:58.945226,Kolkata
DEV-000348,ThinkPad T490,laptop,0.2605,39.454,40.827,0.82,628.43,2026-04-09T13:06:58.945244,Hyderabad
DEV-000349,HP Pavilion 15,laptop,0.1705,59.357,46.75,0.93,712.07,2026-04-09T13:06:58.945262,Delhi
DEV-000350,Google Pixel 6,smartphone,0.0341,9.878,3.979,0.9,61.83,2026-04-09T13:06:58.945280,Delhi
DEV-000351,iPhone 13,smartphone,0.0489,15.59,3.745,0.89,59.26,2026-04-09T13:06:58.945298,Chennai
DEV-000352,iPhone 14,smartphone,0.0545,12.358,3.635,0.99,57.92,2026-04-09T13:06:58.945316,Ahmedabad
DEV-000353,Fitbit Charge 5,wearable,0.0021,0.343,0.28,0.88,4.33,2026-04-09T13:06:58.945334,Chennai
DEV-000354,MacBook Air M1,laptop,0.3264,50.154,59.799,0.95,917.07,2026-04-09T13:06:58.945352,Hyderabad
DEV-000355,Fitbit Charge 5,wearable,0.0012,0.352,0.251,0.93,3.84,2026-04-09T13:06:58.945370,Chennai
DEV-000356,iPad Pro 11,tablet,0.1589,24.289,39.911,0.84,608.44,2026-04-09T13:06:58.945387,Mumbai
DEV-000357,Dell XPS 13,laptop,0.1508,50.382,43.035,0.93,655.08,2026-04-09T13:06:58.945405,Delhi
DEV-000358,Google Pixel 7,smartphone,0.0341,11.197,4.796,0.96,74.1,2026-04-09T13:06:58.945422,Bangalore
DEV-000359,iPhone 12,smartphone,0.0412,9.259,3.104,0.83,49.12,2026-04-09T13:06:58.945440,Hyderabad
DEV-000360,iPhone 14,smartphone,0.0391,14.481,4.222,0.93,65.82,2026-04-09T13:06:58.945457,Bangalore
DEV-000361,Canon EOS R5,camera,0.0934,38.04,20.465,0.87,312.96,2026-04-09T13:06:58.945474,Hyderabad
DEV-000362,Dell XPS 13,laptop,0.3046,47.036,50.366,0.89,774.24,2026-04-09T13:06:58.945492,Pune
DEV-000363,OnePlus 10,smartphone,0.0162,11.643,4.943,0.93,75.23,2026-04-09T13:06:58.945509,Mumbai
DEV-000364,Samsung Galaxy S22,smartphone,0.0262,11.077,4.552,0.88,69.96,2026-04-09T13:06:58.945527,Delhi
DEV-000365,iPhone 12,smartphone,0.0361,12.289,3.482,0.84,54.52,2026-04-09T13:06:58.945545,Kolkata
DEV-000366,OnePlus 10,smartphone,0.0174,7.502,4.059,0.85,62.0,2026-04-09T13:06:58.945562,Mumbai
DEV-000367,Fitbit Charge 5,wearable,0.0014,0.406,0.162,0.85,2.52,2026-04-09T13:06:58.945580,Pune
DEV-000368,Samsung Galaxy S22,smartphone,0.0429,8.888,3.997,0.98,62.62,2026-04-09T13:06:58.945598,Bangalore
DEV-000369,Canon EOS R5,camera,0.0944,35.487,22.84,0.95,348.62,2026-04-09T13:06:58.945616,Delhi
DEV-000370,Samsung Galaxy Tab S7,tablet,0.1572,19.666,28.66,0.87,439.53,2026-04-09T13:06:58.945634,Chennai
DEV-000371,Samsung Galaxy S21,smartphone,0.0328,8.75,3.815,0.91,59.28,2026-04-09T13:06:58.945652,Pune
DEV-000372,MacBook Pro 13,laptop,0.3575,75.125,69.046,0.95,1057.89,2026-04-09T13:06:58.945670,Delhi
DEV-000373,Samsung Galaxy S22,smartphone,0.0429,12.909,4.647,0.92,72.41,2026-04-09T13:06:58.945687,Delhi
DEV-000374,Sony WH-1000XM4,headphones,0.0142,5.363,1.153,0.9,18.2,2026-04-09T13:06:58.945705,Mumbai
DEV-000375,iPhone 12,smartphone,0.0429,12.604,3.05,0.95,48.45,2026-04-09T13:06:58.945723,Kolkata
DEV-000376,Canon EOS R5,camera,0.177,35.024,22.684,0.93,351.23,2026-04-09T13:06:58.945741,Bangalore
DEV-000377,Samsung Galaxy S22,smartphone,0.034,12.401,4.426,0.96,68.55,2026-04-09T13:06:58.945759,Delhi
DEV-000378,Fitbit Charge 5,wearable,0.0029,0.464,0.271,0.87,4.24,2026-04-09T13:06:58.945777,Kolkata
DEV-000379,MacBook Air M1,laptop,0.3212,73.595,59.847,0.91,917.71,2026-04-09T13:06:58.945794,Ahmedabad
DEV-000380,ThinkPad T500,laptop,0.2212,42.804,57.549,0.93,876.94,2026-04-09T13:06:58.945839,Bangalore
DEV-000381,Samsung Galaxy S21,smartphone,0.0299,11.107,4.559,0.99,70.29,2026-04-09T13:06:58.945862,Hyderabad
DEV-000382,ThinkPad T500,laptop,0.2941,67.424,49.951,0.95,767.59,2026-04-09T13:06:58.945879,Hyderabad
DEV-000383,iPhone 14,smartphone,0.0419,13.499,3.307,0.84,52.25,2026-04-09T13:06:58.945897,Bangalore
DEV-000384,Fitbit Charge 5,wearable,0.0023,0.476,0.209,0.9,3.28,2026-04-09T13:06:58.945914,Hyderabad
DEV-000385,Samsung Galaxy Tab S7,tablet,0.1163,21.253,33.546,0.83,510.38,2026-04-09T13:06:58.945933,Chennai
DEV-000386,iPad Air,tablet,0.1175,25.439,25.885,0.87,395.58,2026-04-09T13:06:58.945952,Ahmedabad
DEV-000387,ThinkPad T480,laptop,0.3129,51.656,47.612,0.89,733.47,2026-04-09T13:06:58.945969,Delhi
DEV-000388,Samsung Galaxy S22,smartphone,0.0353,12.347,4.87,0.98,75.29,2026-04-09T13:06:58.945986,Chennai
DEV-000389,Fitbit Charge 5,wearable,0.001,0.292,0.211,0.94,3.23,2026-04-09T13:06:58.946004,Ahmedabad
DEV-000390,Sony WH-1000XM4,headphones,0.0121,4.787,1.362,0.96,21.2,2026-04-09T13:06:58.946022,Delhi
DEV-000391,iPhone 13,smartphone,0.0306,11.189,3.437,0.84,53.5,2026-04-09T13:06:58.946040,Mumbai
DEV-000392,HP Pavilion 15,laptop,0.2324,56.836,45.311,0.97,694.18,2026-04-09T13:06:58.946058,Kolkata
DEV-000393,Sony A7IV,camera,0.1149,30.324,18.767,0.87,288.7,2026-04-09T13:06:58.946076,Chennai
DEV-000394,Canon EOS R5,camera,0.153,22.323,22.197,0.98,342.36,2026-04-09T13:06:58.946094,Mumbai
DEV-000395,iPad Pro 11,tablet,0.191,31.696,30.6,0.84,470.78,2026-04-09T13:06:58.946111,Mumbai
DEV-000396,Samsung Galaxy S21,smartphone,0.0261,11.553,4.364,0.88,67.14,2026-04-09T13:06:58.946130,Mumbai
DEV-000397,HP Pavilion 15,laptop,0.2148,56.184,44.661,0.84,683.36,2026-04-09T13:06:58.946147,Bangalore
DEV-000398,ThinkPad T480,laptop,0.2337,53.719,39.127,0.91,601.46,2026-04-09T13:06:58.946165,Bangalore
DEV-000399,Fitbit Charge 5,wearable,0.0029,0.369,0.215,0.94,3.4,2026-04-09T13:06:58.946183,Ahmedabad
DEV-000400,Fitbit Charge 5,wearable,0.001,0.449,0.107,0.93,1.67,2026-04-09T13:06:58.946201,Ahmedabad
DEV-000401,Fitbit Charge 5,wearable,0.0025,0.399,0.11,0.84,1.8,2026-04-09T13:06:58.946220,Bangalore
DEV-000402,Samsung Galaxy Tab S7,tablet,0.1188,25.576,24.911,0.9,381.05,2026-04-09T13:06:58.946238,Pune
DEV-000403,Google Pixel 7,smartphone,0.0304,11.488,4.402,0.88,67.97,2026-04-09T13:06:58.946257,Chennai
DEV-000404,Apple Watch Series 7,wearable,0.0039,0.737,0.514,0.84,7.95,2026-04-09T13:06:58.946275,Mumbai
DEV-000405,Google Pixel 6,smartphone,0.022,7.112,4.105,0.84,62.97,2026-04-09T13:06:58.946292,Chennai
DEV-000406,Samsung Galaxy Tab S7,tablet,0.0841,15.907,34.575,0.84,523.83,2026-04-09T13:06:58.946311,Delhi
DEV-000407,iPhone 14,smartphone,0.0482,14.024,3.806,0.83,60.12,2026-04-09T13:06:58.946341,Bangalore
DEV-000408,Canon EOS R5,camera,0.0882,21.123,29.759,0.96,451.89,2026-04-09T13:06:58.946361,Kolkata
DEV-000409,MacBook Pro 13,laptop,0.4151,59.405,61.103,0.97,942.05,2026-04-09T13:06:58.946379,Mumbai
DEV-000410,AirPods Pro,earbuds,0.002,1.472,0.612,0.98,9.31,2026-04-09T13:06:58.946397,Hyderabad
DEV-000411,AirPods Pro,earbuds,0.0065,0.922,0.328,0.91,5.32,2026-04-09T13:06:58.946414,Kolkata
DEV-000412,Dell XPS 13,laptop,0.162,50.666,38.445,0.93,586.9,2026-04-09T13:06:58.946432,Chennai
DEV-000413,iPhone 12,smartphone,0.0382,13.863,2.701,0.82,42.95,2026-04-09T13:06:58.946451,Kolkata
DEV-000414,Fitbit Charge 5,wearable,0.0028,0.392,0.254,0.95,3.98,2026-04-09T13:06:58.946468,Kolkata
DEV-000415,Fitbit Charge 5,wearable,0.0024,0.149,0.299,0.92,4.63,2026-04-09T13:06:58.946485,Chennai
DEV-000416,HP Pavilion 15,laptop,0.1972,41.332,42.019,0.88,642.53,2026-04-09T13:06:58.946504,Bangalore
DEV-000417,iPad Air,tablet,0.127,28.073,28.505,0.96,435.48,2026-04-09T13:06:58.946522,Mumbai
DEV-000418,iPhone 14,smartphone,0.0516,16.174,4.006,0.86,63.35,2026-04-09T13:06:58.946549,Pune
DEV-000419,HP Pavilion 15,laptop,0.2966,33.606,36.265,0.95,562.11,2026-04-09T13:06:58.946568,Chennai
DEV-000420,Sony A7IV,camera,0.0912,29.67,23.942,0.94,364.9,2026-04-09T13:06:58.946587,Ahmedabad
DEV-000421,Google Pixel 7,smartphone,0.0329,10.492,3.316,0.99,51.82,2026-04-09T13:06:58.946605,Kolkata
DEV-000422,MacBook Air M1,laptop,0.2489,49.482,68.837,0.83,1047.98,2026-04-09T13:06:58.946622,Pune
DEV-000423,Sony A7IV,camera,0.1467,32.154,30.79,0.86,470.97,2026-04-09T13:06:58.946641,Mumbai
DEV-000424,Google Pixel 6,smartphone,0.0344,9.575,3.957,0.93,61.51,2026-04-09T13:06:58.946659,Kolkata
DEV-000425,Google Pixel 6,smartphone,0.0205,8.778,3.481,0.92,53.53,2026-04-09T13:06:58.946676,Chennai
DEV-000426,Google Pixel 6,smartphone,0.026,6.622,3.406,0.94,52.72,2026-04-09T13:06:58.946694,Delhi
DEV-000427,AirPods Pro,earbuds,0.0038,1.405,0.365,0.88,5.72,2026-04-09T13:06:58.946713,Kolkata
DEV-000428,iPad Pro 11,tablet,0.183,24.749,29.4,0.98,452.23,2026-04-09T13:06:58.946731,Bangalore
DEV-000429,iPhone 13,smartphone,0.0463,14.641,4.013,0.9,63.12,2026-04-09T13:06:58.946749,Chennai
DEV-000430,Samsung Galaxy S21,smartphone,0.0282,10.356,4.378,0.93,67.47,2026-04-09T13:06:58.946767,Delhi
DEV-000431,Google Pixel 7,smartphone,0.0223,12.067,3.52,0.86,54.26,2026-04-09T13:06:58.946785,Pune
DEV-000432,Google Pixel 7,smartphone,0.0271,10.774,3.302,0.96,51.26,2026-04-09T13:06:58.946802,Pune
DEV-000433,Sony WH-1000XM4,headphones,0.0134,3.542,0.992,0.98,15.72,2026-04-09T13:06:58.946838,Pune
DEV-000434,iPhone 12,smartphone,0.0322,14.887,3.036,0.96,47.62,2026-04-09T13:06:58.946858,Mumbai
DEV-000435,Sony WH-1000XM4,headphones,0.0118,3.862,1.026,0.98,16.14,2026-04-09T13:06:58.946875,Mumbai
DEV-000436,iPad Air,tablet,0.1592,16.505,30.363,0.97,465.16,2026-04-09T13:06:58.946893,Hyderabad
DEV-000437,Samsung Galaxy S22,smartphone,0.0376,11.099,4.411,0.94,68.53,2026-04-09T13:06:58.946911,Kolkata
